Name,Handle,Percentile Credit Score
Siempre 💖 San Antonio,siempre_sanantonio,3.7037037037037033
SAN ANTONIO | TEXAS,sanantoniofoodie,13.580246913580247
Melanie Demi | herboozytails,herboozytails,17.28395061728395
Hosting with Em,hostingwithem,14.814814814814813
TEXAS TRAVEL,texas_explorer,16.049382716049383
Rockey,rockey24bz,1.2345679012345678
LiveMoreTv,livemoretv,12.345679012345679
Jeremy Davis Ranes,jeremydavisranes,8.641975308641975
Yoel and Mari,yoelandmari,11.11111111111111
Leonardo Edwin,leo_edw,18.51851851851852
Kayla✨,thedizkiki,6.790123456790123
JG,jgbabyyyy,2.4691358024691357
Secret Los Angeles,secret.losangeles,9.876543209876543
Clearwater Marine AQ,cmaquarium,6.790123456790123
Khyli,k.hyli,4.938271604938271
STLGUIDE314,stlguide314,77.77777777777779
Dan Regan,realdanregan,24.691358024691358
alice 🌞 mountain adventure,mountainalice,71.60493827160494
davidcastain,davidcastain,37.03703703703704
Jimmy Darts,jimmydarts,100.0
OLIA,mypacificlife,54.32098765432099
Picture Perfect Luis,pictureperfectluis,91.35802469135803
Ramzi | Travel Content Creator,travelbyram,79.01234567901234
Tyler,tyler_rey,72.8395061728395
Samantha | Solo Travel Tips,travelingwithsamantha,27.160493827160494
Life of a Travel Agent,claudymazetravels,19.753086419753085
Henry Metzger,skittles_tastetherainbow,86.41975308641975
Rin :),yogirl_rin,87.65432098765432
imma_eat_this,imma_eat_this,82.71604938271605
sweetlikeoyin,sweetlikeoyin,55.55555555555556
Goobi Gubbi,goobigubbi,85.18518518518519
Reyhauna{rih-yah-na),lifeofreyhauna,62.96296296296296
reneé,reneerapp,97.53086419753086
Alexa Moore,lilmsawkward,67.90123456790124
Bryn Elise,bryn.elise,95.06172839506173
Bunny,turbo_bunny,35.80246913580247
natalie & the aguilars,natalientheaguilars,98.76543209876543
Christine Obanor,christineobanor,34.5679012345679
Talia,tallzz_,93.82716049382715
Menecis & Brody,menecisandbrody,96.29629629629629
College Life,collegelifeshorts,38.2716049382716
Tory Vagasy 👑,once.upon.a.tory,83.9506172839506
🦋~VALE ~🦋,_vale_1129,20.98765432098765
Merciless,mercilesssavagez,56.79012345679012
Houston Museum NS,houstonmuseumns,69.1358024691358
Lexi | Travel Tips 🌎,travel.w.lex,88.88888888888889
RUIZ,eljoel_3,70.37037037037037
Julian Bass,thejulianbass,92.5925925925926
brooklyneve_,brooklyneve_,30.864197530864196
Sophie Ferguson,sophiethevagabond,90.12345679012346
Moe ౨ৎ,moeblackx,60.49382716049383
isabelandtamera,isabelandtamera,61.72839506172839
Wally's 🌎,wallyfromthemart,58.0246913580247
adventureanalisa,adventureanalisa,80.24691358024691
Chris & Alex | ⚢,chrisandalex,32.098765432098766
Shalee,shaleewanders,64.19753086419753
cade tanaka,aloha_cade,74.07407407407408
kendall | travel & life,kendallrobin.sonn,28.39506172839506
Lauren ✈️ Travel Tips & Inspo,lawofwandering,50.617283950617285
Mo,travel_mo22,25.925925925925924
Rayvennn,rayvennnhambyyy,40.74074074074074
Billy Boyd,goatbillyb,39.50617283950617
Amanda Killen,baronessofbliss,23.456790123456788
user1431559386759Leslie,leslierdz3202,44.44444444444444
Trapkermit,trapkermit12,41.9753086419753
Freya Nub,freyanub,45.67901234567901
ROBERTOLAGUE,therobertolague,43.20987654320987
Traveling While Black,travelingwhileblk,59.25925925925925
Golden Jeter,goldenjeter,53.086419753086425
Lauren Lanoue,readysetpto,51.85185185185185
SpeedTheSpartan,speedthespartan,65.4320987654321
Janneh Konneh | NYC Lifestyle,jannehkonneh,48.148148148148145
Ann the Adventurer,anntheadventurer,49.382716049382715
rae.abby,rae.abby,66.66666666666666
Kat | Adventure Travel,katbennettphoto,46.913580246913575
Brittney Reynolds,brit_reynolds,29.629629629629626
Amanda,theamandabittner,81.48148148148148
Alina | Adventure Travel,alinazbv,75.30864197530865
Devin | Mom x5 | Bernes Puppy,thebernesemtnbear,22.22222222222222
AshleyDayyDreamer✨,disneydayydreamer,76.5432098765432
MrBeastly,beastlyappetite,33.33333333333333
